team_id,1_player,2_player,3_player,4_player,5_player,prpg!,dprpg,bpm,obpm,dbpm
2023 Kent St.,Sincere Carry,Jalen Sullinger,Malique Jacobs,Miryne Thomas,Chris Payton,10.2,16.2,17,8,9.1
2020 Stephen F. Austin,John Comeaux,Roti Ware,Nathan Bain,Kevon Harris,Gavin Kensmil,9.4,14.8,16.9,7.1,12.7
2021 Drake,Joseph Yesufu,D.J. Wilkins,Garrett Sturtz,Tremell Murphy,Darnell Brodie,13.2,13.4,16.9,12.7,6.2
2022 Wyoming,Hunter Maldonado,Xavier DuSell,Drake Jeffries,Jeremiah Oden,Graham Ike,15.5,17.4,16.9,9.2,6.5
2015 NC St.,Trevor Lacey,Ralston Turner,Caleb Martin,Abdul-Malik Abu,Lennard Freeman,11.4,13.7,16.9,13,4.1
2021 Michigan St.,Rocket Watts,Joshua Langford,Aaron Henry,Malik Hall,Marcus Bingham Jr.,8.5,12.6,16.9,5.9,11.3
2019 Liberty,Georgie Pacheco-Ortiz,Lovell Cabbil,Elijah Cuffee,Caleb Homesley,Scottie James,11.6,14.4,16.8,11.7,6.4
2023 Pittsburgh,Nelly Cummings,Greg Elliott,Jamarius Burton,Blake Hinson,Guillermo Diaz Graham,14.3,13.5,16.8,12.4,8
2024 Yale,Bez Mbeng,August Mahoney,John Poulakidas,Matt Knowling,Danny Wolf,13.2,15.3,16.8,11.2,7.3
2016 South Dakota St.,George Marshall,Deondre Parks,Reed Tellinghuisen,Jake Bittle,Mike Daum,12.3,14.1,16.7,14.8,-0.3
2017 Xavier,Quentin Goodin,J.P. Macura,Trevon Bluiett,Malcolm Bernard,Sean O'Mara,10.8,14.5,16.7,9.7,5.5
2023 Northwestern,Boo Buie,Ty Berry,Chase Audige,Brooks Barnhizer,Tydus Verhoeven,10.2,18,16.7,3.6,12.5
2015 New Mexico St.,Ian Baker,Daniel Mullings,Remi Barry,Pascal Siakam,Tshilidzi Nephawe,11.8,16.7,16.6,10,8.2
2016 Michigan,Derrick Walton Jr.,Muhammad-Ali Abdur-Rahkman,Zak Irvin,Duncan Robinson,Mark Donnal,13.1,15.2,16.6,11.5,9.6
2017 Seton Hall,Madison Jones,Khadeen Carrington,Desi Rodriguez,Michael Nzei,Angel Delgado,11.9,16.8,16.6,8.4,5.6
2019 Washington,David Crisp,Jaylen Nowell,Matisse Thybulle,Hameir Wright,Noah Dickerson,9.9,18.5,16.6,2.4,5.3
2024 Charleston,Kobe Rodgers,Reyne Smith,Ben Burnham,Frankie Policelli,Ante Brzovic,12.2,10.1,16.5,16.4,4.5
