team_id,1_player,2_player,3_player,4_player,5_player,prpg!,dprpg,bpm,obpm,dbpm
2012 Ohio St.,Aaron Craft,Lenzelle Smith Jr.,William Buford,Deshaun Thomas,Jared Sullinger,17.7,23,40.8,23.2,23.9
2012 Purdue,Lewis Jackson,Ryne Smith,Terone Johnson,D.J. Byrd,Robbie Hummel,16.2,13.7,28,24.5,11.4
2012 Saint Louis,Kwamain Mitchell,Mike McCall,Dwayne Evans,Brian Conklin,Rob Loe,11.5,16.5,24,12,13.8
2012 Saint Mary's,Matthew Dellavedova,Jorden Page,Clint Steindl,Rob Jones,Brad Waldow,14,14.8,17.4,15.1,4.3
2012 San Diego St.,Xavier Thames,Chase Tapley,James Rahon,Jamaal Franklin,Tim Shelton,11.8,17.8,17.5,8.7,11.4
2012 South Dakota St.,Nate Wolters,Brayden Carlson,Griffan Callahan,Tony Fiegen,Jordan Dykstra,14.1,13.9,14.8,12.9,1.4
2012 South Florida,Anthony Collins,Hugh Robertson,Victor Rudd,Ron Anderson Jr.,Augustus Gilchrist,7.4,17.7,10.3,-0.9,8.7
2012 Southern Miss,Neil Watson,Angelo Johnson,LaShay Page,Torye Pelham,Darnell Dodson,12,13.4,20.8,15.9,6.1
2012 St. Bonaventure,Charlon Kloof,Jordan Gathers,Demitrius Conger,Da'Quan Cook,Andrew Nicholson,10.3,13.1,13.2,8.6,2.9
2012 Syracuse,Scoop Jardine,Brandon Triche,Kris Joseph,C.J. Fair,Rakeem Christmas,12,15.5,23.3,14.5,9.8
2012 Temple,Khaliff Wyatt,Juan Fernandez,Ramone Moore,Rahlir Hollis-Jefferson,Micheal Eric,15.8,16.9,20.5,14.3,6.5
2012 Texas,Myck Kabongo,J'Covan Brown,Julien Lewis,Jonathan Holmes,Clint Chapman,12.5,15,15.6,9.1,5.5
2012 UNC Asheville,Matt Dickey,J.P. Primm,Jaron Lane,Chris Stephenson,Jeremy Atkinson,14.8,13.1,11.5,13.4,-1
2012 UNLV,Oscar Bellfield,Anthony Marshall,Chace Stanback,Mike Moser,Brice Massamba,12.1,17.3,18.4,9.5,8.5
